Neighbourhood,Thefts,NumberBikeRacks
NSA,3,3
Agincourt North,1,1
Agincourt South-Malvern West,5,1
Alderwood,8,1
Annex,162,1
Banbury-Don Mills,5,1
Bathurst Manor,12,1
Bay Street Corridor,236,31
Bayview Village,45,31
Bayview Woods-Steeles,3,31
Bedford Park-Nortown,8,31
Bendale,1,31
Birchcliffe-Cliffside,14,3
Black Creek,3,3
Blake-Jones,19,3
Briar Hill-Belgravia,13,3
Bridle Path-Sunnybrook-York Mills,10,3
Broadview North,35,3
Brookhaven-Amesbury,1,3
Cabbagetown-South St.James Town,47,1
Caledonia-Fairbank,4,1
Casa Loma,25,1
Centennial Scarborough,3,1
Church-Yonge Corridor,195,1
Clairlea-Birchmount,4,1
Clanton Park,11,1
Cliffcrest,5,1
Corso Italia-Davenport,15,1
Danforth,41,1
Danforth East York,21,1
Don Valley Village,6,1
Dorset Park,3,1
Dovercourt-Wallace Emerson-Junction,82,15
Downsview-Roding-CFB,15,15
Dufferin Grove,36,15
East End-Danforth,49,15
Edenbridge-Humber Valley,4,15
Eglinton East,10,15
Elms-Old Rexdale,2,15
Englemount-Lawrence,32,15
Eringate-Centennial-West Deane,4,15
Etobicoke West Mall,2,15
Flemingdon Park,4,15
Forest Hill North,24,15
Forest Hill South,23,15
Glenfield-Jane Heights,14,9
Greenwood-Coxwell,56,9
Guildwood,4,9
Henry Farm,12,3
High Park North,56,6
High Park-Swansea,20,6
Humber Heights-Westmount,1,4
Humber Summit,1,4
Humbermede,4,4
Humewood-Cedarvale,28,4
Ionview,4,1
Islington-City Centre West,30,1
Junction Area,21,1
Keelesdale-Eglinton West,5,1
Kennedy Park,4,1
Kensington-Chinatown,100,1
Kingsview Village-The Westway,5,1
Kingsway South,12,1
Lambton Baby Point,11,1
LAmoreaux,6,1
Lansing-Westgate,8,1
Lawrence Park North,18,3
Lawrence Park South,32,3
Leaside-Bennington,47,3
Little Portugal,74,11
Long Branch,7,11
Malvern,7,11
Maple Leaf,2,11
Markland Wood,1,11
Milliken,1,11
Mimicoincludes Humber Bay Shores,42,11
Moss Park,107,3
Mount Dennis,1,3
Mount Olive-Silverstone-Jamestown,10,3
Mount Pleasant East,34,3
Mount Pleasant West,143,3
New Toronto,16,3
Newtonbrook East,1,3
Newtonbrook West,22,3
Niagara,141,3
North Riverdale,36,3
North St.James Town,41,3
Oakridge,6,3
Oakwood Village,13,3
OConnor-Parkview,6,3
Old East York,8,3
Palmerston-Little Italy,63,3
Parkwoods-Donalda,4,1
Pelmo Park-Humberlea,5,1
Playter Estates-Danforth,32,1
Pleasant View,6,1
Princess-Rosethorn,2,1
Regent Park,29,1
Rexdale-Kipling,1,1
Rockcliffe-Smythe,1,1
Roncesvalles,47,1
Rosedale-Moore Park,71,4
Rouge,7,4
Runnymede-Bloor West Village,7,4
Rustic,5,4
Scarborough Village,9,4
South Parkdale,48,4
South Riverdale,109,4
St.Andrew-Windfields,16,6
Stonegate-Queensway,11,6
Tam OShanter-Sullivan,13,5
Taylor-Massey,17,5
The Beaches,47,1
Thorncliffe Park,15,2
Trinity-Bellwoods,80,2
University,68,2
Victoria Village,1,2
Waterfront Communities-The Island,310,2
West Hill,11,2
West Humber-Clairville,4,2
Westminster-Branson,14,2
Weston,10,2
Weston-Pellam Park,6,2
Wexford/Maryvale,12,2
Willowdale East,74,2
Willowdale West,14,2
Willowridge-Martingrove-Richview,1,2
Woburn,3,2
Woodbine Corridor,30,2
Woodbine-Lumsden,7,32
Wychwood,20,32
Yonge-Eglinton,39,32
Yonge-St.Clair,24,32
York University Heights,39,32
Yorkdale-Glen Park,32,32
